n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.sd.max
1.560e+04	9.906e-03	8.418e-03	1.052e-02	1.966e-02	1.103e-02	2.309e-02	2.342e-02	1.775e-02	2.590e-02
1.570e+04	9.917e-03	8.418e-03	1.053e-02	1.934e-02	1.102e-02	2.260e-02	2.309e-02	1.725e-02	2.523e-02
1.580e+04	9.917e-03	8.418e-03	1.102e-02	1.875e-02	1.123e-02	2.268e-02	2.255e-02	1.731e-02	2.525e-02
1.590e+04	9.825e-03	8.434e-03	1.124e-02	1.691e-02	1.147e-02	2.277e-02	2.247e-02	1.618e-02	2.463e-02
1.600e+04	9.704e-03	8.631e-03	1.126e-02	1.523e-02	1.147e-02	2.277e-02	2.247e-02	1.598e-02	2.469e-02
1.610e+04	9.704e-03	8.567e-03	1.122e-02	1.548e-02	1.163e-02	2.226e-02	2.250e-02	1.598e-02	2.435e-02
1.620e+04	9.704e-03	8.360e-03	1.100e-02	1.463e-02	1.160e-02	2.238e-02	2.250e-02	1.596e-02	2.409e-02
1.630e+04	9.726e-03	8.360e-03	1.109e-02	1.463e-02	1.153e-02	2.238e-02	2.254e-02	1.596e-02	2.396e-02
1.640e+04	9.726e-03	8.465e-03	1.109e-02	1.491e-02	1.185e-02	2.163e-02	2.171e-02	1.596e-02	2.357e-02
1.650e+04	9.579e-03	8.360e-03	1.138e-02	1.480e-02	1.185e-02	2.164e-02	2.154e-02	1.596e-02	2.356e-02
