n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.brain.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.brain.epistasis.sd.max
9.900e+03	2.088e-02	1.848e-02	2.299e-02	3.066e-02	2.704e-02	3.675e-02	3.601e-02	2.921e-02	4.443e-02
1.000e+04	1.971e-02	1.840e-02	2.299e-02	3.150e-02	2.733e-02	3.675e-02	3.663e-02	3.046e-02	4.437e-02
1.010e+04	1.974e-02	1.820e-02	2.311e-02	3.183e-02	2.693e-02	3.334e-02	3.663e-02	3.056e-02	4.473e-02
1.020e+04	1.974e-02	1.766e-02	2.311e-02	3.178e-02	2.686e-02	3.311e-02	3.565e-02	2.968e-02	4.496e-02
1.030e+04	1.990e-02	1.742e-02	2.428e-02	3.065e-02	2.681e-02	3.365e-02	3.569e-02	2.972e-02	4.501e-02
1.040e+04	2.005e-02	1.829e-02	2.428e-02	3.086e-02	2.642e-02	3.299e-02	3.569e-02	2.982e-02	4.504e-02
1.050e+04	2.020e-02	1.820e-02	2.318e-02	3.093e-02	2.641e-02	3.314e-02	3.555e-02	2.973e-02	4.395e-02
1.060e+04	2.034e-02	1.820e-02	2.373e-02	3.131e-02	2.628e-02	3.310e-02	3.599e-02	2.973e-02	4.395e-02
1.070e+04	2.046e-02	1.820e-02	2.366e-02	3.149e-02	2.713e-02	3.304e-02	3.554e-02	2.945e-02	4.347e-02
1.080e+04	2.046e-02	1.815e-02	2.420e-02	3.163e-02	2.553e-02	3.340e-02	3.565e-02	2.945e-02	4.295e-02
1.090e+04	2.059e-02	1.815e-02	2.429e-02	3.182e-02	2.573e-02	3.317e-02	3.568e-02	2.945e-02	4.273e-02
1.100e+04	2.071e-02	1.738e-02	2.405e-02	3.160e-02	2.742e-02	3.283e-02	3.568e-02	2.916e-02	4.078e-02
1.110e+04	2.067e-02	1.738e-02	2.472e-02	3.093e-02	2.756e-02	3.308e-02	3.594e-02	2.906e-02	4.083e-02
1.120e+04	2.051e-02	1.729e-02	2.481e-02	3.081e-02	2.716e-02	3.365e-02	3.619e-02	2.906e-02	4.083e-02
1.130e+04	2.083e-02	1.729e-02	2.460e-02	3.019e-02	2.638e-02	3.365e-02	3.619e-02	2.972e-02	3.994e-02
1.140e+04	2.110e-02	1.729e-02	2.460e-02	3.171e-02	2.694e-02	3.369e-02	3.679e-02	2.943e-02	3.925e-02
1.150e+04	2.130e-02	1.687e-02	2.428e-02	3.101e-02	2.686e-02	3.369e-02	3.660e-02	2.944e-02	3.918e-02
1.160e+04	2.130e-02	1.687e-02	2.428e-02	2.993e-02	2.611e-02	3.369e-02	3.663e-02	2.902e-02	3.923e-02
1.170e+04	2.184e-02	1.687e-02	2.400e-02	3.044e-02	2.526e-02	3.369e-02	3.720e-02	2.904e-02	4.011e-02
1.180e+04	2.184e-02	1.673e-02	2.400e-02	2.906e-02	2.520e-02	3.371e-02	3.748e-02	2.882e-02	4.088e-02
1.190e+04	2.184e-02	1.658e-02	2.411e-02	2.904e-02	2.520e-02	3.231e-02	3.770e-02	2.736e-02	4.151e-02
1.200e+04	2.184e-02	1.658e-02	2.402e-02	2.898e-02	2.589e-02	3.234e-02	3.729e-02	2.904e-02	3.972e-02
1.210e+04	2.192e-02	1.658e-02	2.402e-02	2.784e-02	2.516e-02	3.228e-02	3.729e-02	2.871e-02	3.982e-02
1.220e+04	2.190e-02	1.658e-02	2.460e-02	2.723e-02	2.411e-02	3.228e-02	3.807e-02	2.941e-02	4.012e-02
1.230e+04	2.190e-02	1.664e-02	2.358e-02	2.741e-02	2.415e-02	3.199e-02	3.753e-02	2.977e-02	3.975e-02
1.240e+04	2.172e-02	1.664e-02	2.414e-02	2.728e-02	2.426e-02	3.199e-02	3.778e-02	2.912e-02	4.078e-02
1.250e+04	2.158e-02	1.690e-02	2.397e-02	2.728e-02	2.373e-02	3.224e-02	3.612e-02	2.923e-02	4.062e-02
1.260e+04	2.078e-02	1.661e-02	2.397e-02	2.702e-02	2.357e-02	2.968e-02	3.631e-02	2.918e-02	4.122e-02
1.270e+04	2.056e-02	1.698e-02	2.454e-02	2.667e-02	2.359e-02	3.006e-02	3.616e-02	2.923e-02	4.124e-02
1.280e+04	2.022e-02	1.698e-02	2.448e-02	2.782e-02	2.361e-02	3.024e-02	3.555e-02	2.933e-02	4.138e-02
1.290e+04	2.031e-02	1.699e-02	2.471e-02	2.787e-02	2.341e-02	3.004e-02	3.514e-02	2.943e-02	4.152e-02
1.300e+04	1.924e-02	1.666e-02	2.500e-02	2.732e-02	2.368e-02	2.998e-02	3.487e-02	2.936e-02	4.206e-02
1.310e+04	1.928e-02	1.666e-02	2.534e-02	2.746e-02	2.136e-02	3.023e-02	3.461e-02	2.923e-02	4.332e-02
1.320e+04	1.816e-02	1.699e-02	2.571e-02	2.686e-02	2.108e-02	3.023e-02	3.454e-02	2.865e-02	4.325e-02
1.330e+04	1.825e-02	1.699e-02	2.571e-02	2.638e-02	2.202e-02	2.971e-02	3.494e-02	2.871e-02	4.314e-02
1.340e+04	1.825e-02	1.731e-02	2.558e-02	2.624e-02	2.202e-02	2.957e-02	3.509e-02	2.858e-02	4.249e-02
1.350e+04	1.825e-02	1.760e-02	2.717e-02	2.615e-02	2.082e-02	2.947e-02	3.536e-02	2.870e-02	4.179e-02
1.360e+04	1.821e-02	1.684e-02	2.784e-02	2.504e-02	1.974e-02	2.947e-02	3.522e-02	2.847e-02	4.193e-02
1.370e+04	1.826e-02	1.723e-02	2.766e-02	2.522e-02	1.914e-02	3.013e-02	3.542e-02	2.835e-02	4.196e-02
1.380e+04	1.816e-02	1.700e-02	2.745e-02	2.489e-02	1.907e-02	3.058e-02	3.400e-02	2.803e-02	4.104e-02
1.390e+04	1.816e-02	1.700e-02	2.758e-02	2.483e-02	1.877e-02	3.058e-02	3.355e-02	2.831e-02	4.055e-02
1.400e+04	1.816e-02	1.700e-02	2.742e-02	2.599e-02	1.877e-02	3.058e-02	3.352e-02	2.766e-02	4.008e-02
1.410e+04	1.791e-02	1.700e-02	2.742e-02	2.597e-02	1.822e-02	3.058e-02	3.359e-02	2.784e-02	3.963e-02
1.420e+04	1.791e-02	1.700e-02	2.741e-02	2.615e-02	1.817e-02	3.043e-02	3.331e-02	2.797e-02	3.933e-02
