n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.cross.epistasis.sd.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.cross.epistasis.sd.max
7.800e+03	2.917e-02	2.157e-02	3.128e-02	4.688e-02	3.111e-02	5.054e-02	4.673e-02	3.201e-02	4.897e-02
7.900e+03	2.914e-02	2.207e-02	3.013e-02	4.756e-02	3.116e-02	5.054e-02	4.618e-02	3.242e-02	4.922e-02
8.000e+03	2.914e-02	2.271e-02	3.028e-02	4.865e-02	3.093e-02	5.105e-02	4.523e-02	3.282e-02	4.893e-02
8.100e+03	2.949e-02	2.318e-02	3.028e-02	4.860e-02	3.093e-02	5.065e-02	4.421e-02	3.238e-02	4.919e-02
8.200e+03	2.975e-02	2.384e-02	3.028e-02	4.859e-02	3.051e-02	5.065e-02	4.446e-02	3.282e-02	4.908e-02
8.300e+03	2.906e-02	2.384e-02	3.019e-02	4.880e-02	3.055e-02	5.120e-02	4.501e-02	3.302e-02	4.884e-02
8.400e+03	2.842e-02	2.384e-02	3.036e-02	4.884e-02	3.051e-02	5.031e-02	4.463e-02	3.330e-02	4.884e-02
8.500e+03	2.842e-02	2.334e-02	3.019e-02	4.725e-02	3.041e-02	5.033e-02	4.403e-02	3.347e-02	4.956e-02
8.600e+03	2.819e-02	2.390e-02	3.069e-02	4.790e-02	3.037e-02	5.033e-02	4.402e-02	3.373e-02	4.884e-02
8.700e+03	2.851e-02	2.390e-02	3.062e-02	4.668e-02	3.069e-02	5.033e-02	4.421e-02	3.373e-02	4.842e-02
8.800e+03	2.922e-02	2.296e-02	3.075e-02	4.603e-02	3.083e-02	5.021e-02	4.432e-02	3.350e-02	4.812e-02
8.900e+03	2.983e-02	2.383e-02	3.111e-02	4.488e-02	3.212e-02	4.878e-02	4.276e-02	3.384e-02	4.863e-02
9.000e+03	3.046e-02	2.411e-02	3.058e-02	4.510e-02	3.254e-02	4.878e-02	4.257e-02	3.409e-02	4.895e-02
9.100e+03	2.968e-02	2.400e-02	3.075e-02	4.483e-02	3.255e-02	4.843e-02	4.258e-02	3.401e-02	4.889e-02
9.200e+03	2.975e-02	2.400e-02	3.031e-02	4.508e-02	3.341e-02	4.821e-02	4.328e-02	3.409e-02	4.887e-02
9.300e+03	2.994e-02	2.387e-02	3.035e-02	4.490e-02	3.323e-02	4.830e-02	4.328e-02	3.499e-02	4.945e-02
9.400e+03	2.991e-02	2.377e-02	3.019e-02	4.463e-02	3.357e-02	4.813e-02	4.311e-02	3.602e-02	5.065e-02
9.500e+03	2.952e-02	2.390e-02	3.028e-02	4.302e-02	3.419e-02	4.834e-02	4.569e-02	3.605e-02	5.026e-02
9.600e+03	2.935e-02	2.379e-02	3.014e-02	4.350e-02	3.524e-02	4.834e-02	4.472e-02	3.605e-02	4.936e-02
9.700e+03	2.949e-02	2.366e-02	3.005e-02	4.418e-02	3.455e-02	4.834e-02	4.471e-02	3.675e-02	4.984e-02
9.800e+03	2.883e-02	2.379e-02	3.054e-02	4.251e-02	3.497e-02	4.358e-02	4.471e-02	3.675e-02	4.915e-02
9.900e+03	2.898e-02	2.333e-02	3.032e-02	4.232e-02	3.467e-02	4.375e-02	4.535e-02	3.701e-02	4.748e-02
1.000e+04	2.748e-02	2.342e-02	3.054e-02	3.965e-02	3.662e-02	4.359e-02	4.554e-02	3.644e-02	4.829e-02
1.010e+04	2.737e-02	2.366e-02	3.043e-02	3.951e-02	3.621e-02	4.295e-02	4.528e-02	3.662e-02	4.751e-02
1.020e+04	2.737e-02	2.268e-02	3.090e-02	3.888e-02	3.619e-02	4.292e-02	4.553e-02	3.663e-02	4.727e-02
1.030e+04	2.791e-02	2.192e-02	3.090e-02	3.859e-02	3.631e-02	4.292e-02	4.526e-02	3.663e-02	4.748e-02
1.040e+04	2.791e-02	2.260e-02	3.061e-02	3.859e-02	3.594e-02	4.337e-02	4.512e-02	3.696e-02	4.693e-02
1.050e+04	2.795e-02	2.164e-02	3.061e-02	3.775e-02	3.571e-02	4.361e-02	4.493e-02	3.618e-02	4.648e-02
1.060e+04	2.791e-02	2.182e-02	3.068e-02	3.777e-02	3.236e-02	4.360e-02	4.465e-02	3.618e-02	4.678e-02
1.070e+04	2.787e-02	2.182e-02	3.093e-02	3.789e-02	3.221e-02	4.508e-02	4.422e-02	3.616e-02	4.689e-02
1.080e+04	2.787e-02	2.192e-02	3.095e-02	3.774e-02	3.076e-02	4.514e-02	4.336e-02	3.579e-02	4.765e-02
1.090e+04	2.787e-02	2.192e-02	3.077e-02	3.729e-02	3.085e-02	4.375e-02	4.350e-02	3.579e-02	4.719e-02
1.100e+04	2.654e-02	2.137e-02	3.077e-02	3.814e-02	3.088e-02	4.342e-02	4.348e-02	3.475e-02	4.719e-02
1.110e+04	2.659e-02	2.127e-02	3.077e-02	3.796e-02	3.028e-02	4.342e-02	4.271e-02	3.475e-02	4.738e-02
1.120e+04	2.728e-02	2.143e-02	3.028e-02	3.805e-02	3.094e-02	4.332e-02	4.266e-02	3.461e-02	4.746e-02
1.130e+04	2.728e-02	2.132e-02	3.096e-02	3.640e-02	3.094e-02	4.355e-02	4.207e-02	3.415e-02	4.768e-02
1.140e+04	2.728e-02	2.136e-02	3.035e-02	3.640e-02	3.094e-02	4.363e-02	4.207e-02	3.418e-02	4.701e-02
1.150e+04	2.748e-02	2.136e-02	3.033e-02	3.565e-02	3.089e-02	4.365e-02	4.160e-02	3.418e-02	4.651e-02
1.160e+04	2.748e-02	2.140e-02	3.033e-02	3.390e-02	3.054e-02	4.358e-02	3.956e-02	3.249e-02	4.669e-02
1.170e+04	2.704e-02	2.154e-02	3.033e-02	3.342e-02	2.993e-02	4.365e-02	3.891e-02	3.249e-02	4.690e-02
1.180e+04	2.774e-02	2.154e-02	3.019e-02	3.352e-02	2.745e-02	4.388e-02	3.845e-02	3.265e-02	4.657e-02
1.190e+04	2.704e-02	2.142e-02	3.019e-02	3.352e-02	2.692e-02	4.529e-02	3.810e-02	3.177e-02	4.629e-02
