n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.brain.epistasis	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.brain.epistasis.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.best.brain.epistasis.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.brain.epistasis	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.brain.epistasis.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.best.brain.epistasis.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.brain.epistasis	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.brain.epistasis.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.best.brain.epistasis.max
1.450e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.667e-01	1.190e-01	1.905e-01
1.460e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.667e-01	1.190e-01	1.905e-01
1.470e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.667e-01	1.190e-01	1.905e-01
1.480e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.667e-01	1.190e-01	1.905e-01
1.490e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.667e-01	1.190e-01	1.667e-01
1.500e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.667e-01	1.429e-01	1.667e-01
1.510e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.667e-01	1.429e-01	1.667e-01
1.520e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.667e-01	1.429e-01	1.667e-01
1.530e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.857e-01	1.667e-01	1.429e-01	1.667e-01
1.540e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.667e-01
1.550e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.667e-01
1.560e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.905e-01
1.570e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.905e-01
1.580e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.905e-01
1.590e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.667e-01
1.600e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.667e-01
1.610e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.667e-01
1.620e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.667e-01
1.630e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.667e-01
1.640e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	1.667e-01
1.650e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	2.143e-01
1.660e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	2.143e-01
1.670e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	2.143e-01
1.680e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	2.143e-01
1.690e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	2.143e-01
1.700e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	2.143e-01
1.710e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	2.143e-01
1.720e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	2.143e-01
1.730e+04	3.810e-01	3.333e-01	4.286e-01	2.381e-01	1.905e-01	2.619e-01	1.667e-01	1.429e-01	2.143e-01
