n.evals.q.1.0.	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.0.5.all.each.global.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.1.0.all.each.global.epistasis.avg.max	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg.min	_.locomotion.hilly.5.0.75.ga.epistasis.2.0.all.each.global.epistasis.avg.max
1.600e+04	5.892e-01	5.648e-01	5.977e-01	4.086e-01	3.890e-01	4.157e-01	2.511e-01	2.298e-01	2.624e-01
1.610e+04	5.892e-01	5.650e-01	5.979e-01	4.086e-01	3.893e-01	4.158e-01	2.529e-01	2.295e-01	2.624e-01
1.620e+04	5.893e-01	5.650e-01	5.986e-01	4.087e-01	3.902e-01	4.158e-01	2.537e-01	2.294e-01	2.624e-01
1.630e+04	5.893e-01	5.650e-01	5.986e-01	4.087e-01	3.902e-01	4.157e-01	2.560e-01	2.294e-01	2.625e-01
1.640e+04	5.893e-01	5.650e-01	5.989e-01	4.089e-01	3.902e-01	4.174e-01	2.571e-01	2.294e-01	2.626e-01
1.650e+04	5.896e-01	5.651e-01	5.994e-01	4.090e-01	3.902e-01	4.181e-01	2.592e-01	2.294e-01	2.626e-01
1.660e+04	5.896e-01	5.651e-01	5.998e-01	4.090e-01	3.910e-01	4.189e-01	2.608e-01	2.294e-01	2.626e-01
1.670e+04	5.899e-01	5.651e-01	6.001e-01	4.090e-01	3.910e-01	4.192e-01	2.608e-01	2.293e-01	2.632e-01
1.680e+04	5.899e-01	5.651e-01	6.004e-01	4.094e-01	3.914e-01	4.195e-01	2.612e-01	2.293e-01	2.632e-01
1.690e+04	5.899e-01	5.651e-01	6.006e-01	4.092e-01	3.913e-01	4.207e-01	2.613e-01	2.288e-01	2.639e-01
1.700e+04	5.900e-01	5.651e-01	6.006e-01	4.092e-01	3.912e-01	4.212e-01	2.620e-01	2.293e-01	2.649e-01
